id,script,beat,harmony,melody
1,2.5878505620105217,3.149338060951506,4.408873068252329,2.9888222352341187
2,3.459290476231118,1.9245323404625232,1.8420299197883852,2.3350614676669754
3,1.1084714515818446,2.99893961245103,3.2151069754940247,3.2582210155270577
4,2.9071151209590274,1.826150021675278,3.3529872306362956,2.8144198678910763
5,3.5660747513852193,5.286867882686074,2.7193219846568786,3.409167900556953
6,2.5493119214488016,4.322079147355158,2.8442825073251705,3.2307248460221856
7,3.2972587477836734,4.159675010815983,3.5512441364751752,2.720577018810918
8,3.8344489446127716,2.8106035274523156,2.8260417037049947,2.6454711031452254
9,4.290893855189802,3.6131332063331008,3.0409215234389455,4.2017310402551
10,3.5382365955736534,2.9854553872749054,3.5056891371145875,2.2375332146611737
11,2.889547147066294,3.050753189654277,3.4001810723270838,2.9492205676937395
12,3.2975918464535994,4.186262694938418,2.9952220542602177,4.706158082880448
13,5.2694883490097135,3.58440012820002,3.6254526958709414,4.617657081636162
14,1.7845779442251741,4.038496388471219,4.630519904748041,3.5626679265641195
15,3.9518003650079274,3.054703153670838,4.074947534224032,2.580637216199805
16,4.480624927660178,3.075910757971433,3.565650559533618,1.8374596164004666
17,4.103603098737443,3.554033768943451,3.3770642836513947,2.890028318433715
18,2.0464880871478455,2.618434587257581,3.099056828765112,1.4144594757269833
19,6.467461854424652,5.204542774083103,2.000264933849504,3.3861967272581373
20,3.320206199391039,3.972798509075191,3.499656647844545,3.535625935190793
21,4.088805771488184,2.5630049638524093,3.1140516904964537,1.8037385843001685
22,3.6781056991467636,2.727006753610884,2.736959629448605,2.0005416135103236
23,3.5551372144838265,3.3869825053374876,2.947358005560266,2.8587742729092565
24,3.3380576761555703,2.1094095326180735,4.086217732321545,2.4876843418239796
25,3.8064478751733404,2.406352790226106,4.555389830096491,3.1764208146622335
26,3.484488246323412,3.1540816242010563,3.1727105541772005,3.973544479775756
27,4.615994856924251,3.8379878194784216,2.856705166498504,3.592234931083362
28,2.924151607072087,4.498369348442676,4.67374095636348,2.8317883605336545
29,3.568693505226362,2.8568899479252354,3.963989890560302,1.923287942155915
30,2.0932952452151987,5.256558239746888,3.5104885649087265,4.153012671123027
31,4.957016329624404,2.6985054915409474,2.800517872067239,3.4229440845957027
32,3.5135334302338386,2.134663281465852,2.7583497980803027,1.5767715272574954
33,1.8380446789381784,1.9548318130256246,2.325838008798704,4.3525491751082885
34,4.715048228319381,4.436013096980696,1.6809307287005852,4.071662589456103
35,4.892450337123027,1.6875593996677825,3.493035075539865,3.0187721058685604
36,4.16196548020255,2.8653509046731163,2.90019703471272,2.568830217680396
37,2.339566411339531,3.0211424695935087,3.441652835660231,3.0032308838567294
38,2.4824248619866305,3.1149731032236763,2.0030888545602648,2.7295705558860868
39,2.38071281793404,2.2332483681170543,2.388621590814865,1.1458545903007282
40,2.621679956794173,3.440264960745016,2.988188077057788,3.4540782734474815
41,3.7607263187904167,2.6994396573688633,2.6964583392859023,3.612664413458773
42,3.5001203896529876,2.7864293381627125,2.3756876948975787,2.7132064634137687
43,3.417674769123464,2.8398144892846107,3.957652275615909,3.575916878072485
44,4.392463507886783,3.3938940755282774,2.7877261030609746,2.495891147324028
45,3.083632128133009,3.146808420730555,3.105957320689666,2.748754447752563
46,3.162486339757892,3.485079910252685,2.4676711563483504,1.6006597320545315
47,5.5504149228048725,3.512380326714838,3.5413419831467996,3.3676409924908546
48,2.2483487883473545,2.646648714456405,2.829860744552085,2.6785614754022724
49,3.481628028316976,2.135698483860664,2.4687906259743277,1.5973330099793053
50,5.2159068535816004,3.284834274286476,3.2878471167828276,2.844150048169438
51,4.705429833391448,3.3901703615769834,2.81969123624394,2.68992486879516
52,2.6764539597749053,3.0108936365666983,2.8195508700617538,2.128936077687289
53,3.37524106482039,2.379190360862112,3.347224177722718,3.4579004223278766
54,3.6205530010650366,3.8277511182320323,2.73162795881684,3.0314367551507524
55,3.903392719766637,4.47785096489765,2.8947770890068356,3.462196153963688
56,3.5703643657219724,3.364004798161378,2.3257582017134086,2.8097987557984947
57,1.6965431496737564,3.0616185003345735,3.5059481382258326,4.148195439960568
